area,year,month,agg_id,total_crimes
9,2015,3,400,31
5,2018,5,750,93
12,2015,8,775,179
11,2017,6,400,35
5,2015,10,1700,27
1,2015,4,800,16
13,2018,8,1700,31
2,2016,6,1900,92
18,2017,12,750,104
5,2017,9,1900,88
7,2016,3,775,168
16,2018,11,400,27
16,2018,10,725,21
6,2018,1,725,68
8,2017,11,725,21
7,2017,10,800,35
19,2017,9,775,138
6,2018,10,800,34
20,2017,7,300,180
3,2016,6,750,112
8,2018,2,2400,14
3,2018,6,400,101
3,2017,6,1900,131
5,2018,9,1700,14
14,2016,1,775,248
14,2018,6,750,162
21,2018,5,750,140
11,2016,11,300,86
16,2017,2,1900,55
3,2017,11,300,193
3,2017,1,400,80
2,2017,5,725,51
3,2016,11,300,158
8,2016,12,300,53
8,2015,7,725,17
17,2016,8,400,33
8,2015,4,2400,18
14,2017,7,1700,19
14,2017,3,850,129
1,2018,11,800,18
7,2015,11,400,17
5,2017,6,750,118
7,2016,6,750,140
12,2016,10,775,149
3,2015,8,800,55
7,2015,11,300,76
11,2017,3,400,50
6,2018,10,750,129
8,2018,3,1900,68
10,2017,4,300,103
19,2016,7,850,89
20,2015,5,750,140
9,2018,6,1900,93
18,2015,8,775,133
20,2018,8,800,39
1,2018,8,725,75
2,2017,7,850,55
5,2018,2,775,112
11,2017,9,400,49
5,2015,1,300,70
13,2017,9,850,98
1,2016,8,1700,6
13,2018,6,725,61
21,2015,6,800,86
4,2018,3,750,96
5,2015,6,750,104
17,2018,1,850,55
21,2015,1,850,43
4,2018,8,2400,19
13,2018,5,1700,21
21,2016,12,850,67
3,2017,5,775,239
21,2015,2,750,105
12,2015,7,2400,46
21,2015,10,400,42
10,2016,5,800,69
15,2016,3,850,94
2,2018,9,300,132
15,2017,5,850,98
13,2015,4,1900,77
7,2016,4,775,163
3,2018,1,775,218
11,2016,8,1700,24
4,2017,12,400,56
6,2015,11,1700,4
9,2017,2,300,88
7,2016,12,400,40
16,2017,1,800,78
2,2016,5,400,61
8,2015,11,300,81
6,2018,8,1700,7
7,2018,4,725,45
11,2015,7,750,140
14,2015,3,1900,83
3,2016,9,775,268
16,2018,11,775,120
1,2018,6,725,52
20,2017,1,750,151
3,2015,3,400,78
12,2016,7,400,125
1,2017,7,300,212
6,2017,2,800,50
3,2018,1,2400,49
20,2015,1,1900,87
1,2017,1,300,162
6,2017,7,1900,96
14,2016,3,750,157
9,2016,1,750,133
12,2017,2,1700,22
12,2017,7,750,143
2,2016,3,1700,14
10,2015,7,725,16
21,2018,4,750,112
1,2015,1,2400,35
12,2016,2,1900,106
10,2018,2,2400,18
4,2016,4,1700,25
1,2018,7,2400,19
7,2017,1,750,144
21,2015,3,1700,11
9,2018,1,850,77
2,2016,5,800,17
15,2015,3,800,96
7,2017,8,725,34
11,2018,6,400,36
12,2017,12,300,218
5,2016,8,775,137
11,2017,12,850,127
8,2017,5,300,76
1,2016,7,850,74
14,2015,4,850,73
16,2018,10,800,52
8,2015,5,750,168
17,2017,5,725,21
1,2017,2,400,65
14,2016,10,850,97
20,2016,7,850,79
5,2016,10,300,110
10,2018,10,400,37
19,2018,7,2400,25
5,2015,5,725,17
7,2018,6,750,166
17,2016,6,1900,79
16,2015,1,750,74
19,2017,10,775,150
1,2015,8,300,185
10,2017,4,2400,27
15,2017,5,775,198
15,2015,6,800,101
4,2018,5,400,66
2,2017,3,1700,21
16,2015,2,1900,64
17,2015,3,800,94
3,2016,1,1900,102
3,2015,12,400,83
2,2015,7,800,29
1,2018,4,1900,91
16,2016,2,725,25
10,2018,9,2400,24
21,2015,4,725,19
14,2017,3,400,42
17,2017,12,400,23
4,2016,10,2400,19
11,2017,4,400,40
18,2016,8,800,29
14,2015,2,850,74
4,2015,11,800,41
8,2015,5,300,85
21,2016,2,800,74
3,2017,5,1700,25
16,2015,5,725,21
9,2018,10,300,106
4,2015,5,725,28
4,2017,6,725,24
10,2017,6,725,16
3,2017,10,725,80
7,2017,9,400,32
8,2016,12,750,211
12,2016,3,400,147
16,2015,10,775,168
14,2015,1,725,24
11,2016,6,800,56
21,2018,10,750,122
7,2016,9,1700,5
3,2015,7,1700,31
16,2016,5,1700,7
21,2015,8,800,84
14,2015,8,800,65
13,2015,9,750,80
5,2017,2,725,28
